stage_classifiercode,division,division_short_name,hhf,last_changed
03-12,PCC,PCC,7.2621,2022-03-01 21:40:40.000000 UTC
03-12,CARRY OPTICS,CO,6.9347,2022-03-01 21:39:57.000000 UTC
03-14,LIMITED,LTD,107,2018-06-28 12:52:49.000000 UTC
03-14,OPEN,OPN,111.4,2018-06-28 12:52:49.000000 UTC
03-14,PCC,PCC,116.2,2019-05-01 09:41:55.000000 UTC
03-14,SINGLE STACK,SS,94.9,2019-05-01 09:41:55.000000 UTC
03-14,LIMITED 10,L10,107,2019-05-01 09:43:26.000000 UTC
03-14,REVOLVER,REV,83.6,2018-06-28 12:52:49.000000 UTC
03-14,PRODUCTION,PROD,93.9,2018-06-28 12:52:49.000000 UTC
03-14,CARRY OPTICS,CO,93.9,2019-05-01 09:43:26.000000 UTC
03-18,PCC,PCC,11.1314,2022-03-01 21:40:23.000000 UTC
03-18,LIMITED 10,L10,8.8814,2019-05-01 09:43:26.000000 UTC
03-18,REVOLVER,REV,6.4829,2018-06-28 12:52:49.000000 UTC
03-18,SINGLE STACK,SS,8.3423,2018-06-28 12:52:49.000000 UTC
03-18,OPEN,OPN,9.4752,2019-05-01 09:41:55.000000 UTC
03-18,PRODUCTION,PROD,7.9574,2019-05-01 09:41:55.000000 UTC
03-18,CARRY OPTICS,CO,7.9574,2019-05-01 09:43:26.000000 UTC
03-18,LIMITED,LTD,8.8814,2018-06-28 12:52:49.000000 UTC
06-01,LIMITED,LTD,9.6912,2018-06-28 12:52:49.000000 UTC
06-01,SINGLE STACK,SS,8.3967,2018-06-28 12:52:49.000000 UTC
06-01,PCC,PCC,9.7243,2022-03-01 21:41:42.000000 UTC
06-01,PRODUCTION,PROD,8.4147,2019-05-01 09:41:55.000000 UTC
06-01,CARRY OPTICS,CO,9.1222,2022-03-01 21:39:05.000000 UTC
06-01,REVOLVER,REV,5.5984,2019-05-01 09:41:55.000000 UTC
06-01,OPEN,OPN,10.9043,2018-06-28 12:52:49.000000 UTC
06-01,LIMITED 10,L10,9.6912,2019-05-01 09:43:26.000000 UTC
06-02,LIMITED 10,L10,8.6104,2019-05-01 09:43:26.000000 UTC
06-02,OPEN,OPN,9.9605,2019-05-01 09:41:55.000000 UTC
06-02,PCC,PCC,9.0132,2019-05-01 09:41:55.000000 UTC
06-02,LIMITED,LTD,8.6104,2018-06-28 12:52:49.000000 UTC
06-02,REVOLVER,REV,5.0842,2018-06-28 12:52:49.000000 UTC
06-02,PRODUCTION,PROD,7.5101,2018-06-28 12:52:49.000000 UTC
06-02,SINGLE STACK,SS,6.9743,2019-05-01 09:41:55.000000 UTC
06-02,CARRY OPTICS,CO,8.4022,2022-03-01 21:38:52.000000 UTC
06-03,OPEN,OPN,17.2943,2018-06-28 12:52:49.000000 UTC
06-03,LIMITED,LTD,16.6378,2019-05-01 09:41:55.000000 UTC
06-03,LIMITED 10,L10,16.6378,2019-05-01 09:43:26.000000 UTC
06-03,REVOLVER,REV,11.4323,2019-05-01 09:41:55.000000 UTC
06-03,CARRY OPTICS,CO,15.9889,2019-05-01 09:43:26.000000 UTC
