stage_classifiercode,division,division_short_name,hhf,last_changed
18-05,PRODUCTION,PROD,9.2136,2022-03-01 21:38:02.000000 UTC
18-05,LIMITED,LTD,9.4483,2019-05-01 09:41:55.000000 UTC
18-05,CARRY OPTICS,CO,9.8129,2022-03-01 21:39:04.000000 UTC
18-05,PCC,PCC,11.4744,2022-03-01 21:41:00.000000 UTC
18-05,REVOLVER,REV,6.3025,2022-03-01 21:38:12.000000 UTC
18-06,REVOLVER,REV,3.6618,2022-03-01 21:38:10.000000 UTC
18-06,LIMITED 10,L10,5.4209,2019-05-01 09:43:26.000000 UTC
18-06,PCC,PCC,9.1866,2022-03-01 21:40:58.000000 UTC
18-06,SINGLE STACK,SS,5.2009,2019-05-01 09:41:55.000000 UTC
18-06,CARRY OPTICS,CO,5.8142,2022-03-01 21:39:00.000000 UTC
18-06,LIMITED,LTD,5.4209,2019-05-01 09:41:55.000000 UTC
18-06,PRODUCTION,PROD,5.4742,2022-03-01 21:37:53.000000 UTC
18-06,OPEN,OPN,6.782,2022-03-01 21:36:59.000000 UTC
18-07,LIMITED,LTD,9.3096,2022-03-01 21:37:29.000000 UTC
18-07,OPEN,OPN,9.7812,2018-11-20 00:00:00.000000 UTC
18-07,SINGLE STACK,SS,8.6418,2018-11-20 00:00:00.000000 UTC
18-07,LIMITED 10,L10,9.091,2019-05-01 09:43:26.000000 UTC
18-07,REVOLVER,REV,5.9194,2022-03-01 21:38:21.000000 UTC
18-07,PRODUCTION,PROD,8.885,2022-03-01 21:37:55.000000 UTC
18-07,CARRY OPTICS,CO,9.0838,2022-03-01 21:39:16.000000 UTC
18-07,PCC,PCC,10.475,2022-03-01 21:40:42.000000 UTC
18-08,CARRY OPTICS,CO,6.0928,2022-03-01 21:38:54.000000 UTC
18-08,REVOLVER,REV,4.633,2022-03-01 21:38:19.000000 UTC
18-08,SINGLE STACK,SS,5.6264,2019-05-01 09:41:55.000000 UTC
18-08,PCC,PCC,6.7137,2022-03-01 21:41:37.000000 UTC
18-08,OPEN,OPN,6.5709,2019-05-01 09:41:55.000000 UTC
18-08,LIMITED,LTD,6.1646,2018-11-20 00:00:00.000000 UTC
18-08,LIMITED 10,L10,6.1646,2019-05-01 09:43:26.000000 UTC
18-08,PRODUCTION,PROD,5.7822,2022-03-01 21:37:44.000000 UTC
18-09,LIMITED 10,L10,10.38,2019-05-01 09:43:26.000000 UTC
18-09,PCC,PCC,10.8152,2022-03-01 21:41:46.000000 UTC
18-09,SINGLE STACK,SS,9.8004,2019-05-01 09:41:55.000000 UTC
18-09,CARRY OPTICS,CO,10.154,2022-03-01 21:39:18.000000 UTC
18-09,OPEN,OPN,11.1142,2022-03-01 21:37:12.000000 UTC
18-09,PRODUCTION,PROD,9.7503,2019-05-01 09:41:55.000000 UTC
18-09,REVOLVER,REV,7.4792,2022-03-01 21:38:25.000000 UTC
18-09,LIMITED,LTD,10.5711,2022-03-01 21:37:33.000000 UTC
19-01,LIMITED,LTD,9.9947,2022-03-01 21:37:18.000000 UTC
19-01,SINGLE STACK,SS,8.7378,2022-03-01 21:38:32.000000 UTC
19-01,REVOLVER,REV,7.2165,2020-01-07 15:02:20.000000 UTC
19-01,OPEN,OPN,11.5432,2022-03-01 21:36:56.000000 UTC
19-01,PCC,PCC,11.8567,2022-03-01 21:40:18.000000 UTC
19-01,LIMITED 10,L10,8.5397,2022-03-01 21:37:40.000000 UTC
19-01,PRODUCTION,PROD,8.6067,2022-03-01 21:37:48.000000 UTC
19-01,CARRY OPTICS,CO,9.7999,2022-03-01 21:38:47.000000 UTC
19-02,OPEN,OPN,10.6113,2020-01-07 13:21:47.000000 UTC
19-02,SINGLE STACK,SS,8.5558,2020-01-07 13:21:49.000000 UTC
19-02,LIMITED,LTD,9.6827,2022-03-01 21:37:31.000000 UTC
19-02,PRODUCTION,PROD,9.2751,2022-03-01 21:38:08.000000 UTC
19-02,REVOLVER,REV,6.8101,2020-01-07 15:02:22.000000 UTC
19-02,CARRY OPTICS,CO,9.893,2022-03-01 21:39:31.000000 UTC
19-02,PCC,PCC,10.8388,2022-03-01 21:40:47.000000 UTC
19-02,LIMITED 10,L10,8.7477,2020-01-07 13:21:48.000000 UTC
19-03,SINGLE STACK,SS,7.0357,2022-03-01 21:38:34.000000 UTC
19-03,OPEN,OPN,10.054,2022-03-01 21:37:11.000000 UTC
19-03,LIMITED,LTD,8.6985,2022-03-01 21:37:35.000000 UTC
19-03,PRODUCTION,PROD,7.1284,2022-03-01 21:37:42.000000 UTC
19-03,LIMITED 10,L10,6.9063,2022-03-01 21:37:36.000000 UTC
19-03,REVOLVER,REV,4.9069,2020-01-07 15:02:24.000000 UTC
19-03,CARRY OPTICS,CO,8.9462,2022-03-01 21:39:11.000000 UTC
19-03,PCC,PCC,9.9068,2022-03-01 21:40:56.000000 UTC
19-04,SINGLE STACK,SS,9.4496,2022-03-01 21:38:41.000000 UTC
19-04,OPEN,OPN,11.5179,2020-01-07 14:27:26.000000 UTC
19-04,LIMITED,LTD,10.205,2020-01-07 14:27:26.000000 UTC
19-04,PRODUCTION,PROD,9.4579,2022-03-01 21:37:57.000000 UTC
19-04,CARRY OPTICS,CO,10.2496,2022-03-01 21:39:41.000000 UTC
19-04,PCC,PCC,10.4452,2022-03-01 21:41:57.000000 UTC
19-04,LIMITED 10,L10,9.0802,2020-01-07 14:27:27.000000 UTC
19-04,REVOLVER,REV,7.6501,2020-01-07 15:02:27.000000 UTC
20-01,OPEN,OPN,9.4933,2022-03-01 21:37:01.000000 UTC
20-01,SINGLE STACK,SS,7.2283,2020-11-03 15:35:41.000000 UTC
20-01,LIMITED,LTD,8.5677,2022-03-01 21:37:24.000000 UTC
20-01,PRODUCTION,PROD,7.4585,2022-03-01 21:37:51.000000 UTC
20-01,REVOLVER,REV,5.6126,2022-03-01 21:38:30.000000 UTC
20-01,LIMITED 10,L10,7.2283,2020-11-03 15:35:41.000000 UTC
20-01,CARRY OPTICS,CO,8.5679,2022-03-01 21:39:33.000000 UTC
20-01,PCC,PCC,8.7,2020-11-03 15:35:43.000000 UTC
20-02,SINGLE STACK,SS,10.2674,2022-03-01 21:38:36.000000 UTC
20-02,OPEN,OPN,12.7319,2022-03-01 21:36:54.000000 UTC
20-02,LIMITED,LTD,11.9111,2022-03-01 21:37:16.000000 UTC
20-02,PRODUCTION,PROD,10.709,2022-03-01 21:37:46.000000 UTC
20-02,REVOLVER,REV,7.8257,2022-03-01 21:38:13.000000 UTC
20-02,CARRY OPTICS,CO,11.2622,2022-03-01 21:39:15.000000 UTC
20-02,PCC,PCC,12.0366,2022-03-01 21:40:43.000000 UTC
20-02,LIMITED 10,L10,10.5079,2022-03-01 21:37:38.000000 UTC
20-03,SINGLE STACK,SS,9.331,2020-11-03 15:39:34.000000 UTC
20-03,REVOLVER,REV,7.8361,2022-03-01 21:38:28.000000 UTC
20-03,OPEN,OPN,11.6035,2022-03-01 21:37:14.000000 UTC
20-03,PCC,PCC,11,2020-11-03 15:39:35.000000 UTC
20-03,LIMITED 10,L10,9.331,2020-11-03 15:39:33.000000 UTC
20-03,LIMITED,LTD,10.4734,2022-03-01 21:37:25.000000 UTC
20-03,PRODUCTION,PROD,9.5196,2022-03-01 21:37:59.000000 UTC
20-03,CARRY OPTICS,CO,11.038,2022-03-01 21:39:29.000000 UTC
21-01,LIMITED,LTD,15.2999,2021-12-08 19:51:21.000000 UTC
21-01,SINGLE STACK,SS,13.7999,2021-12-08 19:51:22.000000 UTC
21-01,PRODUCTION,PROD,13.5999,2021-12-08 19:51:22.000000 UTC
21-01,CARRY OPTICS,CO,16,2021-12-08 19:51:23.000000 UTC
21-01,PCC,PCC,16.2999,2021-12-08 19:51:23.000000 UTC
21-01,OPEN,OPN,18,2021-12-08 19:51:21.000000 UTC
21-01,LIMITED 10,L10,13.9999,2021-12-08 19:51:21.000000 UTC
21-01,REVOLVER,REV,10.3999,2021-12-08 19:51:22.000000 UTC
99-02,SINGLE STACK,SS,6.6366,2018-06-28 12:52:49.000000 UTC
99-02,LIMITED,LTD,7.3567,2018-06-28 12:52:49.000000 UTC
99-02,LIMITED 10,L10,7.3567,2019-05-01 09:43:26.000000 UTC
99-02,CARRY OPTICS,CO,6.7923,2019-05-01 09:43:26.000000 UTC
99-02,REVOLVER,REV,5.5569,2018-06-28 12:52:49.000000 UTC
99-02,OPEN,OPN,7.7051,2018-06-28 12:52:49.000000 UTC
99-02,PRODUCTION,PROD,6.7923,2018-06-28 12:52:49.000000 UTC
99-02,PCC,PCC,7.0794,2019-05-01 09:41:55.000000 UTC
99-07,LIMITED,LTD,7.7885,2018-06-28 12:52:49.000000 UTC
99-07,SINGLE STACK,SS,7.2185,2019-05-01 09:41:55.000000 UTC
99-07,LIMITED 10,L10,7.7885,2019-05-01 09:43:26.000000 UTC
99-07,CARRY OPTICS,CO,7.7946,2022-03-01 21:39:02.000000 UTC
99-07,REVOLVER,REV,5.6208,2019-05-01 09:41:55.000000 UTC
99-07,PRODUCTION,PROD,7.1581,2018-06-28 12:52:49.000000 UTC
99-07,PCC,PCC,8.1657,2022-03-01 21:40:51.000000 UTC
99-07,OPEN,OPN,9.298,2018-06-28 12:52:49.000000 UTC
99-08,SINGLE STACK,SS,9.9094,2018-06-28 12:52:49.000000 UTC
99-08,LIMITED,LTD,10.6766,2018-06-28 12:52:49.000000 UTC
99-08,LIMITED 10,L10,10.6766,2019-05-01 09:43:26.000000 UTC
99-08,CARRY OPTICS,CO,9.6721,2022-03-01 21:39:28.000000 UTC
99-08,OPEN,OPN,11.8006,2018-06-28 12:52:49.000000 UTC
99-08,REVOLVER,REV,7.4457,2018-06-28 12:52:49.000000 UTC
99-08,PRODUCTION,PROD,9.3922,2018-06-28 12:52:49.000000 UTC
99-08,PCC,PCC,10.601,2022-03-01 21:41:20.000000 UTC
99-10,SINGLE STACK,SS,9.5586,2019-05-01 09:41:55.000000 UTC
99-10,LIMITED,LTD,10.9574,2018-06-28 12:52:49.000000 UTC
99-10,LIMITED 10,L10,10.9574,2019-05-01 09:43:26.000000 UTC
99-10,CARRY OPTICS,CO,9.653,2022-03-01 21:39:55.000000 UTC
99-10,PRODUCTION,PROD,9.5841,2018-06-28 12:52:49.000000 UTC
99-10,OPEN,OPN,11.8913,2018-06-28 12:52:49.000000 UTC
99-10,REVOLVER,REV,8.2322,2018-06-28 12:52:49.000000 UTC
99-10,PCC,PCC,10.9507,2019-05-01 09:41:55.000000 UTC
99-11,LIMITED 10,L10,12.4345,2019-05-01 09:43:26.000000 UTC
99-11,SINGLE STACK,SS,11.3537,2019-05-01 09:41:55.000000 UTC
99-11,REVOLVER,REV,9.1836,2018-06-28 12:52:49.000000 UTC
99-11,PCC,PCC,14.0093,2022-03-01 21:41:53.000000 UTC
99-11,CARRY OPTICS,CO,11.6423,2019-05-01 09:43:26.000000 UTC
99-11,OPEN,OPN,13.5751,2018-06-28 12:52:49.000000 UTC
99-11,LIMITED,LTD,12.4345,2019-05-01 09:41:55.000000 UTC
99-11,PRODUCTION,PROD,11.6423,2019-05-01 09:41:55.000000 UTC
99-12,LIMITED 10,L10,11.2421,2019-05-01 09:43:26.000000 UTC
99-12,SINGLE STACK,SS,9.4671,2018-06-28 12:58:58.000000 UTC
99-12,REVOLVER,REV,7.6527,2018-06-28 12:52:49.000000 UTC
99-12,CARRY OPTICS,CO,9.4725,2019-05-01 09:43:26.000000 UTC
99-12,OPEN,OPN,11.7511,2018-06-28 12:52:49.000000 UTC
99-12,LIMITED,LTD,11.2421,2018-06-28 12:58:58.000000 UTC
99-12,PRODUCTION,PROD,9.4725,2018-06-28 12:58:58.000000 UTC
99-12,PCC,PCC,9.1194,2019-05-01 09:41:55.000000 UTC
99-13,PCC,PCC,11.3569,2022-03-01 21:41:06.000000 UTC
99-13,SINGLE STACK,SS,9.2418,2018-06-28 12:52:49.000000 UTC
99-13,LIMITED 10,L10,10.7708,2019-05-01 09:43:26.000000 UTC
99-13,CARRY OPTICS,CO,8.9461,2019-05-01 09:43:26.000000 UTC
99-13,OPEN,OPN,10.8147,2018-06-28 12:52:49.000000 UTC
99-13,REVOLVER,REV,6.8321,2018-06-28 12:52:49.000000 UTC
99-13,PRODUCTION,PROD,8.9461,2018-06-28 12:52:49.000000 UTC
99-13,LIMITED,LTD,10.7708,2018-06-28 12:58:58.000000 UTC
99-14,LIMITED,LTD,80,2018-07-25 09:12:50.000000 UTC
99-14,PCC,PCC,90,2016-09-05 15:27:23.000000 UTC
99-14,PRODUCTION,PROD,78.7,2019-05-01 09:41:55.000000 UTC
99-14,REVOLVER,REV,61.9,2019-05-01 09:41:55.000000 UTC
99-14,LIMITED 10,L10,80,2019-05-01 09:43:26.000000 UTC
99-14,SINGLE STACK,SS,73.9,2018-07-25 09:12:50.000000 UTC
99-14,CARRY OPTICS,CO,78.7,2019-05-01 09:43:26.000000 UTC
99-14,OPEN,OPN,87.8,2018-07-25 09:12:50.000000 UTC
99-16,REVOLVER,REV,7.731,2018-06-28 12:52:49.000000 UTC
99-16,LIMITED 10,L10,10.3168,2019-05-01 09:43:26.000000 UTC
99-16,OPEN,OPN,11.5292,2018-06-28 12:52:49.000000 UTC
99-16,SINGLE STACK,SS,9.8746,2019-05-01 09:41:55.000000 UTC
99-16,LIMITED,LTD,10.3168,2018-06-28 12:52:49.000000 UTC
99-16,PRODUCTION,PROD,10.0463,2018-06-28 12:52:49.000000 UTC
99-16,PCC,PCC,10.628,2019-05-01 09:41:55.000000 UTC
99-16,CARRY OPTICS,CO,10.0463,2019-05-01 09:43:26.000000 UTC
99-19,CARRY OPTICS,CO,6.5106,2019-05-01 09:43:26.000000 UTC
99-19,OPEN,OPN,7.6889,2018-06-28 12:52:49.000000 UTC
99-19,SINGLE STACK,SS,6.284,2019-05-01 09:41:55.000000 UTC
99-19,LIMITED 10,L10,7.2793,2019-05-01 09:43:26.000000 UTC
99-19,LIMITED,LTD,7.2793,2018-06-28 12:52:49.000000 UTC
99-19,REVOLVER,REV,5.5527,2018-06-28 12:52:49.000000 UTC
99-19,PRODUCTION,PROD,6.5106,2018-06-28 12:52:49.000000 UTC
99-19,PCC,PCC,5.8973,2022-03-01 21:40:21.000000 UTC
99-21,REVOLVER,REV,8.9932,2018-06-28 12:52:49.000000 UTC
99-21,LIMITED 10,L10,12.7564,2019-05-01 09:43:26.000000 UTC
99-21,OPEN,OPN,12.9033,2019-05-01 09:41:55.000000 UTC
99-21,SINGLE STACK,SS,11.6701,2018-06-28 12:52:49.000000 UTC
99-21,LIMITED,LTD,12.7564,2018-06-28 12:52:49.000000 UTC
99-21,PRODUCTION,PROD,11.9085,2018-06-28 12:52:49.000000 UTC
99-21,PCC,PCC,11.4863,2022-03-01 21:41:26.000000 UTC
99-21,CARRY OPTICS,CO,11.9085,2019-05-01 09:43:26.000000 UTC
99-22,LIMITED 10,L10,11.2458,2019-05-01 09:43:26.000000 UTC
99-22,OPEN,OPN,12.4508,2018-06-28 12:52:49.000000 UTC
99-22,REVOLVER,REV,7.8212,2018-06-28 12:52:49.000000 UTC
99-22,SINGLE STACK,SS,10.1316,2019-05-01 09:41:55.000000 UTC
99-22,LIMITED,LTD,11.2458,2018-06-28 12:52:49.000000 UTC
99-22,CARRY OPTICS,CO,10.2796,2019-05-01 09:43:26.000000 UTC
99-22,PRODUCTION,PROD,10.2796,2018-06-28 12:52:49.000000 UTC
99-22,PCC,PCC,11.958,2022-03-01 21:40:49.000000 UTC
99-23,REVOLVER,REV,10.7002,2018-06-28 12:52:49.000000 UTC
99-23,LIMITED 10,L10,13.4964,2019-05-01 09:43:26.000000 UTC
99-23,PCC,PCC,16.918,2019-05-01 09:41:55.000000 UTC
99-23,SINGLE STACK,SS,12.2419,2018-06-28 12:52:49.000000 UTC
99-23,LIMITED,LTD,13.4964,2018-06-28 12:52:49.000000 UTC
99-23,PRODUCTION,PROD,12.8314,2018-06-28 12:52:49.000000 UTC
99-23,OPEN,OPN,14.9099,2019-05-01 09:41:55.000000 UTC
99-23,CARRY OPTICS,CO,12.8314,2019-05-01 09:43:26.000000 UTC
99-24,LIMITED 10,L10,12.276,2019-05-01 09:43:26.000000 UTC
99-24,OPEN,OPN,13.1394,2019-05-01 09:41:55.000000 UTC
99-24,SINGLE STACK,SS,10.7474,2018-06-28 12:52:49.000000 UTC
99-24,REVOLVER,REV,9.508,2018-06-28 12:52:49.000000 UTC
99-24,LIMITED,LTD,12.276,2018-06-28 12:52:49.000000 UTC
99-24,PRODUCTION,PROD,11.1856,2019-05-01 09:41:55.000000 UTC
99-24,CARRY OPTICS,CO,11.1856,2019-05-01 09:43:26.000000 UTC
99-24,PCC,PCC,14.4391,2022-03-01 21:41:39.000000 UTC
99-28,REVOLVER,REV,7.4486,2019-05-01 09:41:55.000000 UTC
99-28,LIMITED 10,L10,11.2482,2019-05-01 09:43:26.000000 UTC
99-28,LIMITED,LTD,11.2482,2019-05-01 09:41:55.000000 UTC
99-28,SINGLE STACK,SS,9.7539,2018-06-28 12:52:49.000000 UTC
99-28,CARRY OPTICS,CO,10.4252,2019-05-01 09:43:26.000000 UTC
99-28,PCC,PCC,11.3885,2022-03-01 21:41:24.000000 UTC
99-28,OPEN,OPN,12.3076,2019-05-01 09:41:55.000000 UTC
99-28,PRODUCTION,PROD,10.4252,2018-06-28 12:52:49.000000 UTC
99-33,OPEN,OPN,12.1703,2018-06-28 12:52:49.000000 UTC
99-33,LIMITED 10,L10,11.0382,2019-05-01 09:43:26.000000 UTC
99-33,LIMITED,LTD,11.0382,2018-06-28 12:52:49.000000 UTC
99-33,SINGLE STACK,SS,9.8835,2018-06-28 12:52:49.000000 UTC
99-33,CARRY OPTICS,CO,10.1368,2019-05-01 09:43:26.000000 UTC
99-33,PRODUCTION,PROD,10.1368,2018-06-28 12:52:49.000000 UTC
99-33,PCC,PCC,9.6493,2022-03-01 21:41:07.000000 UTC
99-33,REVOLVER,REV,7.9464,2018-06-28 12:52:49.000000 UTC
99-40,OPEN,OPN,115,2018-06-28 12:52:49.000000 UTC
99-40,LIMITED 10,L10,110.8,2019-05-01 09:43:26.000000 UTC
99-40,REVOLVER,REV,81.8,2019-05-01 09:41:55.000000 UTC
99-40,SINGLE STACK,SS,95.5,2018-06-28 12:52:49.000000 UTC
99-40,PCC,PCC,115.2,2019-05-01 09:41:55.000000 UTC
99-40,CARRY OPTICS,CO,101.5,2019-05-01 09:43:26.000000 UTC
99-40,PRODUCTION,PROD,101.5,2019-05-01 09:41:55.000000 UTC
99-40,LIMITED,LTD,110.8,2018-06-28 12:52:49.000000 UTC
99-41,LIMITED 10,L10,11.3441,2019-05-01 09:43:26.000000 UTC
99-41,OPEN,OPN,12.4859,2019-05-01 09:41:55.000000 UTC
99-41,SINGLE STACK,SS,10.4107,2018-06-28 12:52:49.000000 UTC
99-41,REVOLVER,REV,7.4352,2018-06-28 12:52:49.000000 UTC
99-41,LIMITED,LTD,11.3441,2018-06-28 12:52:49.000000 UTC
99-41,PCC,PCC,11.8719,2022-03-01 21:41:17.000000 UTC
99-41,CARRY OPTICS,CO,10.4171,2019-05-01 09:43:26.000000 UTC
99-41,PRODUCTION,PROD,10.4171,2018-06-28 12:52:49.000000 UTC
99-42,OPEN,OPN,12.1285,2018-06-28 12:52:49.000000 UTC
99-42,LIMITED 10,L10,10.3788,2019-05-01 09:43:26.000000 UTC
99-42,REVOLVER,REV,6.9426,2018-06-28 12:52:49.000000 UTC
99-42,SINGLE STACK,SS,9.1374,2019-05-01 09:41:55.000000 UTC
99-42,CARRY OPTICS,CO,8.8111,2022-03-01 21:40:08.000000 UTC
99-42,PRODUCTION,PROD,10.0336,2018-06-28 12:52:49.000000 UTC
99-42,PCC,PCC,9.2445,2018-06-28 12:52:49.000000 UTC
99-42,LIMITED,LTD,10.3788,2018-06-28 12:52:49.000000 UTC
99-46,LIMITED 10,L10,10.6073,2019-05-01 09:43:26.000000 UTC
99-46,OPEN,OPN,11.2567,2018-06-28 12:52:49.000000 UTC
99-46,REVOLVER,REV,7.7929,2018-06-28 12:52:49.000000 UTC
99-46,SINGLE STACK,SS,9.6481,2019-05-01 09:41:55.000000 UTC
99-46,LIMITED,LTD,10.6073,2018-06-28 12:52:49.000000 UTC
99-46,CARRY OPTICS,CO,9.4941,2019-05-01 09:43:26.000000 UTC
99-46,PRODUCTION,PROD,9.4941,2018-06-28 12:52:49.000000 UTC
99-46,PCC,PCC,11.9748,2022-03-01 21:41:13.000000 UTC
99-47,REVOLVER,REV,4.8062,2019-05-01 09:41:55.000000 UTC
99-47,LIMITED 10,L10,6.6302,2019-05-01 09:43:26.000000 UTC
99-47,OPEN,OPN,7.0758,2018-06-28 12:52:49.000000 UTC
99-47,SINGLE STACK,SS,5.6867,2019-05-01 09:41:55.000000 UTC
99-47,CARRY OPTICS,CO,5.759,2022-03-01 21:39:42.000000 UTC
99-47,PCC,PCC,8.7611,2022-03-01 21:40:29.000000 UTC
99-47,PRODUCTION,PROD,5.6805,2019-05-01 09:41:55.000000 UTC
99-47,LIMITED,LTD,6.6302,2018-06-28 12:52:49.000000 UTC
99-48,REVOLVER,REV,7.3996,2019-05-01 09:41:55.000000 UTC
99-48,SINGLE STACK,SS,9.4119,2018-06-28 12:52:49.000000 UTC
99-48,PCC,PCC,11.4504,2022-03-01 21:40:34.000000 UTC
99-48,LIMITED 10,L10,10.7965,2019-05-01 09:43:26.000000 UTC
99-48,OPEN,OPN,12.1392,2019-05-01 09:41:55.000000 UTC
99-48,PRODUCTION,PROD,10.2913,2018-06-28 12:52:49.000000 UTC
99-48,LIMITED,LTD,10.7965,2018-06-28 12:52:49.000000 UTC
99-48,CARRY OPTICS,CO,10.2913,2019-05-01 09:43:26.000000 UTC
99-51,OPEN,OPN,7.3958,2018-06-28 12:52:49.000000 UTC
99-51,PCC,PCC,7.3863,2019-05-01 09:41:55.000000 UTC
99-51,LIMITED 10,L10,6.8609,2019-05-01 09:43:26.000000 UTC
99-51,REVOLVER,REV,5.5165,2018-06-28 12:52:49.000000 UTC
99-51,LIMITED,LTD,6.8609,2018-06-28 12:52:49.000000 UTC
99-51,CARRY OPTICS,CO,6.0953,2019-05-01 09:43:26.000000 UTC
99-51,PRODUCTION,PROD,6.0953,2018-06-28 12:52:49.000000 UTC
99-51,SINGLE STACK,SS,6.2113,2019-05-01 09:41:55.000000 UTC
99-53,LIMITED,LTD,7.2682,2018-06-28 12:52:49.000000 UTC
99-53,SINGLE STACK,SS,6.8431,2018-06-28 12:52:49.000000 UTC
99-53,LIMITED 10,L10,7.2682,2019-05-01 09:43:26.000000 UTC
99-53,CARRY OPTICS,CO,7.0137,2019-05-01 09:43:26.000000 UTC
99-53,PRODUCTION,PROD,7.0137,2018-06-28 12:52:49.000000 UTC
99-53,PCC,PCC,6.8613,2022-03-01 21:40:16.000000 UTC
99-53,REVOLVER,REV,5.0346,2018-06-28 12:52:49.000000 UTC
99-53,OPEN,OPN,8.614,2018-06-28 12:52:49.000000 UTC
99-56,OPEN,OPN,9.7202,2018-06-28 12:52:49.000000 UTC
99-56,SINGLE STACK,SS,7.6682,2018-06-28 12:52:49.000000 UTC
99-56,REVOLVER,REV,6.7162,2018-06-28 12:52:49.000000 UTC
99-56,LIMITED 10,L10,9.0117,2019-05-01 09:43:26.000000 UTC
99-56,LIMITED,LTD,9.0117,2018-06-28 12:52:49.000000 UTC
99-56,PRODUCTION,PROD,8.1964,2018-06-28 12:52:49.000000 UTC
99-56,PCC,PCC,8.3771,2019-05-01 09:41:55.000000 UTC
99-56,CARRY OPTICS,CO,8.1964,2019-05-01 09:43:26.000000 UTC
99-57,OPEN,OPN,8.868,2018-06-28 12:52:49.000000 UTC
99-57,REVOLVER,REV,5.1138,2018-06-28 12:52:49.000000 UTC
99-57,LIMITED 10,L10,7.9192,2019-05-01 09:43:26.000000 UTC
99-57,SINGLE STACK,SS,6.7545,2018-06-28 12:52:49.000000 UTC
99-57,CARRY OPTICS,CO,7.4051,2022-03-01 21:38:58.000000 UTC
99-57,PRODUCTION,PROD,6.7622,2019-05-01 09:41:55.000000 UTC
99-57,LIMITED,LTD,7.9192,2018-06-28 12:52:49.000000 UTC
99-57,PCC,PCC,8.3106,2022-03-01 21:41:22.000000 UTC
99-59,OPEN,OPN,6.6933,2018-06-28 12:52:49.000000 UTC
99-59,SINGLE STACK,SS,4.9544,2018-06-28 12:52:49.000000 UTC
99-59,REVOLVER,REV,3.4384,2018-06-28 12:52:49.000000 UTC
99-59,LIMITED 10,L10,5.5803,2019-05-01 09:43:26.000000 UTC
99-59,CARRY OPTICS,CO,5.2466,2019-05-01 09:43:26.000000 UTC
99-59,PRODUCTION,PROD,5.2466,2018-06-28 12:52:49.000000 UTC
99-59,PCC,PCC,6.8799,2018-06-28 12:52:49.000000 UTC
99-59,LIMITED,LTD,5.5803,2018-06-28 12:52:49.000000 UTC
99-61,SINGLE STACK,SS,4.4542,2018-06-28 12:52:49.000000 UTC
99-61,OPEN,OPN,5.5709,2018-06-28 12:52:49.000000 UTC
99-61,REVOLVER,REV,3.8433,2018-06-28 12:52:49.000000 UTC
99-61,LIMITED 10,L10,4.9983,2019-05-01 09:43:26.000000 UTC
99-61,LIMITED,LTD,4.9983,2018-06-28 12:52:49.000000 UTC
99-61,CARRY OPTICS,CO,4.3435,2019-05-01 09:43:26.000000 UTC
99-61,PCC,PCC,5.4603,2022-03-01 21:41:28.000000 UTC
99-61,PRODUCTION,PROD,4.3435,2019-05-01 09:41:55.000000 UTC
99-62,LIMITED 10,L10,13.3115,2019-05-01 09:43:26.000000 UTC
99-62,REVOLVER,REV,10.6733,2018-06-28 12:52:49.000000 UTC
99-62,SINGLE STACK,SS,12.2784,2018-06-28 12:52:49.000000 UTC
99-62,PRODUCTION,PROD,12.5622,2018-06-28 12:52:49.000000 UTC
99-62,LIMITED,LTD,13.3115,2019-05-01 09:41:55.000000 UTC
99-62,PCC,PCC,16.6102,2022-03-01 21:41:30.000000 UTC
99-62,OPEN,OPN,14.5696,2018-06-28 12:52:49.000000 UTC
99-62,CARRY OPTICS,CO,12.7237,2022-03-01 21:39:46.000000 UTC
99-63,OPEN,OPN,7.4114,2018-06-28 12:52:49.000000 UTC
99-63,LIMITED,LTD,5.6676,2018-06-28 12:52:49.000000 UTC
99-63,SINGLE STACK,SS,4.6262,2019-05-01 09:41:55.000000 UTC
99-63,CARRY OPTICS,CO,5.2318,2019-05-01 09:43:26.000000 UTC
99-63,PRODUCTION,PROD,5.2318,2019-05-01 09:41:55.000000 UTC
99-63,PCC,PCC,7.8171,2022-03-01 21:40:14.000000 UTC
99-63,LIMITED 10,L10,5.6676,2019-05-01 09:43:26.000000 UTC
99-63,REVOLVER,REV,3.6304,2019-05-01 09:41:55.000000 UTC
22-01,OPEN,OPN,9.34,2022-12-11 00:00:00.000000 UTC
22-01,LIMITED,LTD,8.4942,2022-12-11 00:00:00.000000 UTC
22-01,SINGLE STACK,SS,7.8926,2022-12-11 00:00:00.000000 UTC
22-01,CARRY OPTICS,CO,8.6663,2022-12-11 00:00:00.000000 UTC
22-01,PRODUCTION,PROD,7.7656,2022-12-11 00:00:00.000000 UTC
22-01,PCC,PCC,9.052,2022-12-11 00:00:00.000000 UTC
22-01,LIMITED 10,L10,7.5402,2022-12-11 00:00:00.000000 UTC
22-01,REVOLVER,REV,6.271,2022-12-11 00:00:00.000000 UTC
22-02,OPEN,OPN,8.6822,2022-12-11 00:00:00.000000 UTC
22-02,LIMITED,LTD,8,2022-12-11 00:00:00.000000 UTC
22-02,SINGLE STACK,SS,7.6899,2022-12-11 00:00:00.000000 UTC
22-02,CARRY OPTICS,CO,8,2022-12-11 00:00:00.000000 UTC
22-02,PRODUCTION,PROD,7.25,2022-12-11 00:00:00.000000 UTC
