,code,title,div,total,avg,max,100%,GM,M,A,B,C,D
0,03-02,Six Chickens,CO,2380,2.8689792016806726,8.75,0.21008403361344108,0.5462184873949525,1.7226890756302566,6.764705882352942,22.73109243697479,52.01680672268908,87.98319327731092
1,03-02,Six Chickens,PROD,2023,1.8846926347009394,7.619,0.14829461196242733,0.29658922392486886,0.8403361344537785,2.52100840336135,10.87493821057835,29.312901631240734,72.02174987642115
2,03-02,Six Chickens,SS,711,2.046300421940928,7.1341,0.14064697609001087,0.5625879043600577,1.2658227848101262,3.656821378340368,15.752461322081572,35.864978902953595,76.65260196905767
3,03-02,Six Chickens,PCC,1642,4.522999695493301,10.2564,0.24360535931791105,0.6699147381242341,3.1668696711327584,9.622411693057245,33.92204628501827,75.21315468940317,96.22411693057246
4,03-02,Six Chickens,LTD,3122,1.9629856502242153,8.011,0.0,0.03203074951953511,0.2562459961563093,1.0890454836643215,6.213965406790521,25.112107623318394,73.19026265214606
5,03-02,Six Chickens,L10,248,2.044295161290323,7.8621,0.0,0.40322580645161565,0.40322580645161565,2.016129032258064,6.451612903225808,25.403225806451616,74.19354838709677
6,03-02,Six Chickens,REV,150,1.9518300000000004,6.1742,0.6666666666666714,1.3333333333333286,2.6666666666666714,8.0,19.33333333333333,41.333333333333336,78.66666666666666
7,03-02,Six Chickens,OPN,1723,3.490012188044109,9.2437,0.058038305281485236,0.1741149158444557,0.8705745792222928,4.120719674985494,19.44283226929774,54.49796865931514,89.26291352292513
0,03-03,Take 'em Down,CO,1593,4.207312178279975,8.7603,0.439422473320775,1.004394224733204,4.01757689893283,11.362209667294408,32.83113622096673,72.9441305712492,96.98681732580037
1,03-03,Take 'em Down,LTD,1780,3.374924887640449,9.9437,0.11235955056179137,0.16853932584270126,0.6741573033707908,3.0337078651685374,12.528089887640448,47.69662921348314,93.31460674157303
2,03-03,Take 'em Down,REV,89,3.0670022471910108,5.8564,1.1235955056179705,5.617977528089881,13.483146067415731,24.719101123595507,44.9438202247191,75.28089887640449,98.87640449438202
3,03-03,Take 'em Down,SS,403,3.3321186104218365,7.8148,0.4962779156327599,1.2406947890818856,3.7220843672456567,10.66997518610421,23.821339950372206,55.831265508684865,93.54838709677419
4,03-03,Take 'em Down,L10,141,3.1563198581560283,6.3144,0.0,0.0,0.0,0.0,6.38297872340425,42.5531914893617,93.61702127659575
